price.open,price.high,price.low,price.close,volume,price.adjusted,ret.adjusted.prices,ret.closing.prices,avgChange,Change
61.130001,61.400002,59.66,60.23,3145200,58.932377,-0.016974102,-0.016974049,0.569334797,U
60.389999,60.59,59.59,60.290001,1644900,58.991089,0.000996261,0.000996198,0.688758612,U
60.290001,61.48,60.049999,61.099998,1855000,59.78363,0.013434927,0.013435014,0.429115961,E
61.119999,62.209999,60.759998,62.029999,1377700,60.693596,0.015220989,0.015220966,-0.064376026,E
62.150002,62.25,61.27,61.970001,1239800,60.634892,-0.000967219,-0.000967242,0.057917242,E
62.16,62.880001,61.84,62.41,1941700,61.065411,0.007100186,0.007100194,-0.225421374,E
62.669998,62.900002,62.25,62.43,1990600,61.08498,0.00032046,0.000320461,-0.24209167,E
62.560001,63.220001,61.709999,61.830002,1941600,60.49791,-0.00961071,-0.009610732,-0.441788261,E
61.73,62.580002,61.02,62.150002,1917600,60.811016,0.005175485,0.005175481,-0.191826574,E
62.150002,62.830002,61.630001,61.709999,2656500,60.380493,-0.007079688,-0.007079694,0.126820695,E
61.560001,62.130001,60.950001,61.68,1683800,60.351143,-0.000486084,-0.000486129,-0.575672002,D
61.630001,61.650002,60.25,60.470001,1746300,59.16721,-0.019617408,-0.019617364,0.616820602,U
61.02,62.540001,60.700001,61.560001,2695900,60.23373,0.018025525,0.018025467,0,E
61.869999,62.490002,60.900002,62.099998,2551900,60.762089,0.008771813,0.008771881,-0.019480811,E
61.880001,61.959999,59.529999,59.919998,3871900,58.629055,-0.035104685,-0.035104671,0.682040271,U
59.91,62.509998,59.650002,62.360001,2754700,61.016491,0.040721038,0.040721013,-0.103219146,E
62.43,62.919998,61.119999,61.560001,2170500,60.23373,-0.012828679,-0.012828736,-0.01940775,E
61.740002,62.849998,61.57,62.040001,1911600,60.703384,0.007797193,0.007797271,0.012916882,E
61.790001,62.93,61.639999,62.02,2660500,60.683815,-0.000322371,-0.000322389,-0.132578495,E
62.48,62.48,61.43,62.040001,2450600,60.703384,0.000322475,0.000322493,-1.267191544,D
61.75,62.009998,61.380001,61.5,3176200,60.175018,-0.008704062,-0.008704078,-0.906925066,D
61.810001,62.240002,61.34,62.080002,3828600,60.742523,0.009430907,0.009430927,-1.017855171,D
61.860001,63.349998,61.459999,61.610001,2919200,60.282646,-0.007570924,-0.007570892,-0.466771891,E
59.049999,59.990002,57.009998,58.169998,7845900,56.916756,-0.05583514,-0.055835139,0.42286875,E
58.290001,59.959999,57.759998,58.759998,4482600,57.494049,0.01014276,0.010142686,0.02025384,E
58.400002,59.310001,57.77,59.029999,2699100,57.758228,0.004594893,0.00459498,-0.040485493,E
59.080002,60.380001,58.689999,60.220001,2391600,58.922592,0.020159275,0.020159275,-0.448930672,E
60.23,60.490002,59.209999,59.419998,2435500,58.139828,-0.013284616,-0.013284673,0.013536718,E
59.459999,60.380001,58.709999,58.82,2232600,57.552753,-0.010097639,-0.010097577,-0.163032404,E
58.900002,59.400002,58.599998,58.91,1632700,57.640816,0.001530127,0.001530092,-0.656207663,D
58.720001,59.169998,58.43,58.889999,593900,57.621246,-0.000339516,-0.000339518,-0.401509264,E
59.200001,59.5,58.869999,59.459999,1300100,58.178967,0.009679086,0.009679063,-0.174980441,E
59.259998,59.310001,58.119999,58.34,1988200,57.083096,-0.018836206,-0.018836176,0.660348299,U
58.139999,58.360001,56.720001,56.990002,4299900,55.762188,-0.02314009,-0.023140178,0.427833102,E
56.82,57.73,56.360001,57.720001,3968400,56.850544,0.019517814,0.012809247,0.061417018,E
57.849998,58.970001,57.790001,58.950001,3247100,58.062008,0.021309629,0.021309771,-0.939740701,D
58.700001,60.34,58.700001,60.27,3193900,59.362129,0.02239194,0.02239184,-1.687324219,D
60.080002,60.400002,57.810001,58.240002,4349700,57.362709,-0.033681743,-0.033681732,-0.860489132,D
58.25,58.75,56.82,57.900002,2480000,57.027828,-0.005837957,-0.005837912,-0.790036299,D
57.619999,57.93,55.869999,56.209999,2957300,55.363285,-0.029188259,-0.029188306,-0.046563866,E
56.240002,56.369999,54.48,55.41,3493400,54.575333,-0.014232392,-0.014232325,-0.039530312,E
55.599998,56.740002,55.540001,55.799999,2365400,54.959457,0.007038418,0.007038423,-0.843194004,D
56.360001,56.66,55.650002,55.68,3074200,54.84127,-0.00215044,-0.00215052,-1.209189463,D
55.669998,56.299999,55.459999,56.080002,4136400,55.235245,0.007183915,0.007183944,-1.263432378,D
55.619999,56.02,55.169998,55.299999,2517300,54.466991,-0.013908764,-0.013908755,-0.733642389,D
55.220001,55.369999,53.060001,53.470001,3870800,52.664558,-0.033092208,-0.033092189,-0.660116469,D
53.5,54.040001,52.150002,52.380001,4200100,51.590981,-0.02038519,-0.020385262,-0.624832678,D
52.689999,54.5,52.52,52.669998,4529700,51.876606,0.005536336,0.005536407,-0.23411898,E
52.529999,53.900002,51.849998,53.34,3525000,52.536518,0.012720801,0.012720752,-0.326457729,E
53.34,54.48,51.73,51.73,4343200,50.950768,-0.030183767,-0.030183727,0.235185254,E
51.810001,52,50.330002,50.75,1413100,49.985531,-0.018944503,-0.01894452,1.015170836,U
50.959999,52.080002,49.77,52.060001,2820000,51.275799,0.02581283,0.025812828,0.489302452,E
51.73,52.490002,50.799999,52.490002,2340100,51.699322,0.008259706,0.008259719,0.751681877,U
52.450001,52.93,51.939999,52.34,3178700,51.551579,-0.002857736,-0.002857725,1.049341363,U
52.560001,53.43,52.43,53.400002,2366000,52.595612,0.020252202,0.020252235,0.972654428,U
53.040001,53.93,52.82,53.349998,2122600,52.546364,-0.000936352,-0.000936404,1.51843855,U
52.98,54.790001,52.98,54.490002,3135800,53.669197,0.021368424,0.021368398,0.736239102,U
54.790001,56.040001,54.669998,55.16,5558900,54.329102,0.012295787,0.012295797,0.848446642,U
54.900002,56.77,54.669998,56.049999,3740100,55.205696,0.016134888,0.016134862,0.623381313,U
56.34,57.619999,55.98,57.549999,2976200,56.683098,0.026761767,0.02676182,0.076586019,E
57.34,57.389999,56.349998,56.549999,3440600,55.698158,-0.017376256,-0.017376195,0.707596596,U
56.669998,58.029999,56.59,57.560001,2440200,56.692951,0.017860429,0.017860336,0.323858395,E
57.740002,58.330002,57.360001,57.830002,1390300,56.958885,0.004690777,0.004690775,0.534099218,U
57.75,58.150002,57.09,57.77,2027700,56.899788,-0.001037538,-0.001037558,1.08058637,U
58.09,58.68,57.59,58.59,1495400,57.707432,0.014194148,0.014194218,0.497462274,E
58.48,59.07,58.439999,58.5,2189600,57.61879,-0.001536059,-0.001536098,0.667958057,U
58.610001,59.41,58.360001,59.389999,2313800,58.495384,0.015213683,0.015213658,0.232550747,E
60.299999,61.470001,60.150002,60.959999,3630200,60.041733,0.026435402,0.026435427,-0.079380168,E
60.900002,60.900002,59.700001,60.07,3158700,59.165142,-0.014599695,-0.014599721,0.570617785,U
60.18,60.860001,59.73,60.5,2235600,59.588665,0.00715832,0.007158315,0.419823216,E
60.060001,60.650002,59.68,60.09,1648600,59.184841,-0.006776859,-0.00677686,0.675256893,U
60.450001,60.990002,60.09,60.720001,3254700,59.805347,0.010484205,0.01048429,0.389129325,E
60.639999,61.830002,60.470001,61.799999,2313900,60.86908,0.017786587,0.017786528,0.038761872,E
61.689999,61.900002,61.16,61.779999,1355400,60.84938,-0.000323645,-0.000323625,0,E
61.82,62.48,61.200001,62.16,2194800,61.22366,0.006150925,0.006150874,-0.151872882,E
62.259998,62.560001,61.209999,61.919998,5050600,60.98727,-0.003861089,-0.003861036,-0.330941895,E
62.150002,62.459999,61.459999,61.919998,2046300,60.98727,0,0,-0.58744787,D
62.060001,62.23,61.540001,61.779999,1507600,60.84938,-0.002260964,-0.002260966,-0.819671473,D
61.900002,61.950001,60.549999,61.689999,4069100,60.760735,-0.001456794,-0.001456782,-0.749759146,D
61.740002,61.98,60.799999,60.900002,2950300,59.982635,-0.012805968,-0.012805917,0.159404555,E
60.310001,61.860001,58.200001,60.119999,5132600,59.21439,-0.01280779,-0.012807931,0.18942541,E
59.57,60.130001,58.490002,59.290001,5437500,58.396889,-0.013805783,-0.013805689,0.625889656,U
59.209999,60.240002,58.889999,59.43,3582300,58.534779,0.002361256,0.002361258,1.04163287,U
59.700001,61.700001,59.599998,61.380001,3243500,60.45541,0.032811792,0.032811728,0.505180699,U
61.450001,61.66,60.41,60.689999,2326400,59.775799,-0.011241525,-0.011241479,0.935630837,U
60.459999,61.630001,60.290001,61.18,2304300,60.258423,0.008073903,0.008073834,0.59989183,U
61.639999,62.959999,61.52,62.610001,3170000,61.666878,0.023373579,0.023373668,0.225017907,E
62.459999,63.549999,62.200001,62.939999,3840900,61.991905,0.00527069,0.005270691,-0.196675233,E
62.93,63.93,62.799999,63.599998,2754500,62.641964,0.010486192,0.010486162,-0.582672018,D
63.41,63.639999,62.279999,63.060001,2858600,62.110104,-0.008490475,-0.008490519,-0.451749002,E
62.34,63.369999,62.099998,63.32,2841100,62.366184,0.004123001,0.004123041,-0.534243045,D
63.66,63.700001,61.900002,62.32,2893100,61.381248,-0.015792789,-0.015792798,-0.041991343,E
